Episode,Score,Avg100,Epsilon,Loss,Greedy_Eval
168,111,103.6,0.642,0.4301,106
169,104,103.58,0.64,0.3585,105
170,102,103.61,0.638,0.3822,106
171,106,103.57,0.636,0.417,105
172,91,103.38,0.634,0.3561,99
173,99,103.33,0.632,0.3564,103
174,108,103.38,0.63,0.4145,100
175,98,103.37,0.628,0.3506,100
176,105,103.33,0.626,0.336,106
177,116,103.52,0.623,0.3931,103
178,107,103.5,0.621,0.3386,108
179,104,103.44,0.619,0.3709,100
180,90,103.35,0.617,0.4142,103
181,92,103.26,0.615,0.3918,103
182,98,103.18,0.613,0.3084,102
183,93,103.06,0.612,0.301,100
184,94,103.1,0.61,0.2725,98
185,101,103.06,0.608,0.28,100
186,106,102.98,0.605,0.2863,106
187,101,102.99,0.603,0.2911,105
188,96,102.87,0.602,0.2636,108
189,108,102.96,0.599,0.6936,108
190,101,103.02,0.597,0.7866,101
191,103,103.04,0.595,0.5699,103
192,107,103.11,0.593,0.5155,103
193,105,103.14,0.591,0.4527,103
194,103,103.21,0.589,0.7755,106
195,93,103.19,0.587,0.7711,106
196,104,103.31,0.585,0.7328,106
197,108,103.37,0.583,0.6854,107
198,101,103.37,0.581,0.5226,101
199,106,103.44,0.579,0.6085,101
200,108,103.66,0.576,0.5186,108
201,102,103.65,0.574,0.4332,106
202,99,103.53,0.572,0.434,107
203,109,103.61,0.57,0.4778,99
204,105,103.62,0.568,0.4269,106
205,111,103.63,0.566,0.6239,107
206,102,103.64,0.563,0.6207,106
207,105,103.74,0.561,0.4575,107
208,93,103.7,0.56,0.3611,100
209,90,103.53,0.558,0.3536,111
210,104,103.54,0.556,0.3454,100
211,104,103.63,0.554,0.3676,107
212,102,103.6,0.552,0.3259,100
213,107,103.65,0.549,0.8531,102
214,102,103.62,0.547,0.9717,99
215,118,103.89,0.545,0.9322,106
216,106,103.91,0.543,0.8912,106
217,110,104.03,0.54,0.7807,108
218,107,104.06,0.538,0.6129,106
219,99,104.0,0.536,0.492,106
220,105,103.93,0.534,0.5449,107
221,104,103.95,0.532,0.4297,106
222,108,103.97,0.53,0.4171,107
223,101,104.04,0.528,0.3848,106
224,101,104.02,0.526,0.3989,107
225,98,103.94,0.524,0.3567,102
226,108,103.93,0.521,0.3718,107
227,111,104.04,0.519,0.3664,106
228,108,104.1,0.517,0.3666,107
229,107,104.18,0.515,0.3846,109
230,116,104.25,0.512,0.4711,111
231,109,104.32,0.51,0.5059,103
232,99,104.29,0.508,0.4279,102
233,110,104.38,0.506,0.4946,108
234,98,104.35,0.504,0.4109,109
235,108,104.28,0.502,0.3449,108
236,99,104.13,0.5,0.5562,109
237,111,104.17,0.497,1.0398,108
238,110,104.29,0.495,0.7834,103
239,118,104.41,0.493,0.9528,110
240,101,104.36,0.491,0.7586,103
241,117,104.55,0.488,0.6571,110
242,117,104.74,0.486,0.6626,110
243,107,104.76,0.483,0.8598,113
244,108,104.8,0.481,0.5982,109
245,101,104.74,0.479,0.473,110
246,113,104.84,0.477,0.4273,110
247,108,104.9,0.475,0.412,110
248,103,104.86,0.473,0.4509,103
249,117,105.02,0.47,0.5389,110
250,111,105.08,0.468,0.5058,110
251,108,105.06,0.466,0.4584,103
252,103,104.98,0.464,0.443,111
253,94,104.86,0.462,0.4584,110
254,108,104.89,0.459,0.4075,110
255,98,104.66,0.457,0.3249,113
256,109,104.76,0.455,0.3653,103
257,111,104.82,0.453,0.2953,103
258,103,104.72,0.451,0.3211,110
259,109,104.83,0.449,1.1802,103
260,104,104.81,0.446,0.8364,110
261,105,104.75,0.444,0.6359,110
262,101,104.79,0.442,0.5732,103
263,102,104.76,0.44,0.6266,103
264,104,104.64,0.438,0.5832,103
265,107,104.54,0.436,0.6734,110
266,108,104.55,0.434,0.806,103
267,108,104.58,0.431,0.6235,103
268,109,104.56,0.429,0.6964,103
269,94,104.46,0.427,0.7185,103
270,98,104.42,0.425,0.8305,110
271,104,104.4,0.423,0.6156,110
272,106,104.55,0.421,0.4784,103
273,101,104.57,0.419,0.4927,110
274,104,104.53,0.417,0.4604,110
275,110,104.65,0.415,0.5269,103
276,110,104.7,0.412,0.5306,110
277,106,104.6,0.41,0.5689,103
278,108,104.61,0.408,0.6469,103
279,101,104.58,0.406,0.9117,103
280,112,104.8,0.404,0.908,103
281,102,104.9,0.402,0.9481,110
282,105,104.97,0.4,1.2253,104
283,111,105.15,0.397,1.6252,103
284,98,105.19,0.395,1.1103,103
285,110,105.28,0.393,0.9931,104
286,101,105.23,0.391,0.8922,103
287,100,105.22,0.389,0.9118,103
288,105,105.31,0.387,0.8259,103
289,98,105.21,0.385,0.8202,103
290,109,105.29,0.383,0.9708,110
291,103,105.29,0.381,0.8322,103
292,105,105.27,0.379,0.7226,104
293,108,105.3,0.376,0.6833,104
294,106,105.33,0.374,0.7021,110
295,107,105.47,0.372,0.8997,104
296,107,105.5,0.37,0.7857,110
