Episode,Score,Avg100,Epsilon,Loss,Greedy_Eval
169,106,103.05,0.641,0.6627,108
170,113,103.17,0.638,0.6071,108
171,96,103.03,0.636,0.5931,108
172,107,102.94,0.634,0.6057,110
173,110,102.95,0.632,0.6293,110
174,105,103.04,0.63,0.6405,109
175,105,103.01,0.628,0.6343,109
176,102,103.02,0.626,0.5927,109
177,99,103.01,0.624,0.6329,109
178,98,102.9,0.622,0.6237,105
179,97,102.85,0.62,0.5609,108
180,111,102.91,0.618,0.5413,110
181,101,103.02,0.616,0.6129,108
182,99,103.01,0.614,0.6346,108
183,95,102.89,0.612,0.6799,105
184,103,102.91,0.61,0.6985,108
185,107,102.95,0.607,0.6929,113
186,98,102.89,0.605,0.5984,109
187,106,102.97,0.603,0.6831,109
188,96,103.01,0.601,1.0146,106
189,88,102.93,0.6,0.9989,109
190,104,102.96,0.598,0.953,108
191,96,102.91,0.596,0.7506,110
192,97,102.91,0.594,0.7373,109
193,116,103.0,0.591,0.705,109
194,103,103.03,0.589,0.6864,109
195,110,103.07,0.587,0.5875,109
196,109,103.08,0.585,0.657,107
197,97,103.01,0.583,0.6698,109
198,101,102.98,0.581,0.6824,109
199,109,102.98,0.579,0.6878,113
200,101,102.92,0.577,0.6807,109
201,105,102.97,0.575,0.7122,109
202,106,102.96,0.572,0.6181,109
203,111,103.02,0.57,0.7112,109
204,90,102.99,0.568,0.6971,108
205,106,103.03,0.566,0.6815,109
206,106,103.06,0.564,0.712,108
207,111,103.16,0.561,0.7543,113
208,101,103.19,0.559,0.8207,108
209,92,103.0,0.558,0.6534,113
210,103,103.08,0.556,0.7017,109
211,98,103.08,0.554,0.8707,108
212,104,103.04,0.551,0.8053,113
213,98,102.97,0.55,0.9851,112
214,114,103.16,0.547,0.8598,109
215,100,103.19,0.545,0.7497,109
216,108,103.24,0.543,0.7677,113
217,95,103.06,0.541,0.7676,109
218,93,102.86,0.539,0.8382,109
219,107,102.86,0.537,0.8064,109
220,108,103.0,0.535,0.7652,109
221,107,103.05,0.533,0.681,115
222,109,103.15,0.53,0.7262,115
223,106,103.21,0.528,0.6288,104
224,104,103.18,0.526,0.775,110
225,104,103.26,0.524,0.7454,108
226,95,103.17,0.522,0.7171,108
227,107,103.19,0.52,0.602,109
228,104,103.21,0.518,0.6421,108
229,103,103.2,0.516,0.577,113
230,102,103.19,0.514,0.5902,111
231,108,103.23,0.512,0.6663,111
232,100,103.17,0.51,0.7517,110
233,97,103.07,0.508,0.769,108
234,93,102.99,0.506,0.6615,110
235,107,102.98,0.504,0.6284,109
236,110,102.99,0.502,0.6493,108
237,108,103.09,0.499,1.0383,108
238,99,103.01,0.497,0.8971,105
239,95,103.03,0.496,0.894,112
240,110,103.06,0.493,0.7854,106
241,102,103.18,0.491,0.8336,110
242,103,103.12,0.489,0.7736,108
243,98,103.13,0.487,0.7503,105
244,99,103.07,0.485,0.7151,109
245,105,103.14,0.483,0.7737,108
246,102,103.07,0.481,0.68,108
247,102,103.14,0.479,0.7348,111
248,105,103.1,0.477,0.7137,108
249,97,102.97,0.475,0.6847,107
250,96,102.88,0.473,0.7442,111
251,102,102.84,0.471,0.7706,114
252,109,102.94,0.468,0.7369,107
253,100,102.91,0.466,0.7976,112
254,108,102.91,0.464,0.7117,109
255,104,102.88,0.462,0.7505,109
256,100,102.85,0.46,0.7695,110
